"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2020","12,300","12,300","12,300","12,300","2.10K","11.82%"
"07/29/2020","11,000","11,000","11,000","11,000","0.50K","-13.39%"
"07/28/2020","12,700","11,000","12,700","11,000","3.70K","2.42%"
"07/24/2020","12,400","12,400","12,400","12,400","10.50K","0.00%"
"07/23/2020","12,400","12,400","12,400","12,400","0.50K","-6.77%"
"07/22/2020","13,300","13,300","13,300","13,300","1.40K","6.40%"
"07/21/2020","12,500","12,500","12,500","12,500","5.80K","-3.85%"
"07/17/2020","13,000","12,300","13,400","12,200","4.60K","4.00%"
"07/16/2020","12,500","12,500","12,500","12,500","0.20K","-4.58%"
"07/15/2020","13,100","13,700","13,700","13,100","2.50K","0.77%"
"07/13/2020","13,000","12,900","13,000","12,800","4.50K","-5.80%"
"07/10/2020","13,800","12,700","13,800","12,700","5.50K","8.66%"
"07/09/2020","12,700","12,800","12,900","12,700","5.90K","-3.05%"
"07/07/2020","13,100","13,100","13,100","13,100","1.00K","4.80%"
"07/06/2020","12,500","12,500","12,500","12,500","0.50K","-10.07%"
"07/02/2020","13,900","13,800","13,900","13,800","1.00K","0.00%"
"07/01/2020","13,900","13,900","13,900","13,900","0.50K","-2.80%"
"06/30/2020","14,300","14,300","14,300","14,300","0.50K","6.72%"
"06/26/2020","13,400","14,300","14,300","13,400","11.50K","8.06%"
"06/25/2020","12,400","12,800","12,800","12,400","1.50K","-1.59%"
"06/23/2020","12,600","12,500","12,600","12,500","12.00K","0.80%"
"06/22/2020","12,500","12,500","12,500","12,500","5.60K","2.46%"
"06/19/2020","12,200","12,300","12,300","12,200","0.80K","-2.40%"
"06/18/2020","12,500","12,100","12,500","12,100","1.00K","-4.58%"
"06/11/2020","13,100","13,100","13,100","13,100","1.00K","1.55%"
"06/10/2020","12,900","12,900","12,900","12,900","0.40K","-3.01%"
"06/09/2020","13,300","13,300","13,300","13,300","0.80K","9.92%"
"06/08/2020","12,100","13,500","13,500","12,100","2.90K","-9.02%"
"06/05/2020","13,300","13,300","13,300","13,300","1.00K","6.40%"
"06/02/2020","12,500","12,500","12,500","12,500","0.50K","-6.72%"
"05/29/2020","13,400","13,400","13,400","13,400","1.00K","3.08%"
"05/27/2020","13,000","12,800","13,000","12,800","3.70K","0.00%"
"05/26/2020","13,000","13,000","13,000","13,000","3.30K","-5.80%"
"05/21/2020","13,800","13,800","13,800","13,800","1.00K","10.40%"
"05/20/2020","12,500","13,000","13,000","12,500","1.40K","-4.58%"
"05/19/2020","13,100","13,300","13,500","13,100","5.20K","-2.96%"
