Date,Price,Open,High,Low,Vol.,Change %
27/10/2015,"25,109","25,109","25,270","25,001",682.06K,-0.21%
28/10/2015,"24,839","25,109","25,162","24,785",1.14M,-1.08%
29/10/2015,"25,162","24,893","25,162","24,785",1.31M,1.30%
30/10/2015,"25,701","25,162","25,701","25,162",2.95M,2.14%
02/11/2015,"25,701","25,701","26,132","25,647",2.12M,0.00%
03/11/2015,"25,971","25,701","25,971","25,378",1.23M,1.05%
04/11/2015,"25,971","26,025","26,294","25,971",1.61M,0.00%
05/11/2015,"25,809","25,755","25,917","25,701",645.79K,-0.62%
06/11/2015,"25,863","25,809","26,132","25,486",1.43M,0.21%
09/11/2015,"26,456","25,863","26,563","25,755",1.93M,2.29%
10/11/2015,"26,025","26,402","26,456","26,025",1.06M,-1.63%
11/11/2015,"25,701","26,025","26,186","25,701",846.66K,-1.24%
12/11/2015,"25,647","25,593","25,701","25,162",1.52M,-0.21%
13/11/2015,"25,593","25,701","25,755","25,378",984.41K,-0.21%
16/11/2015,"25,378","25,378","25,647","25,270",735.50K,-0.84%
17/11/2015,"25,432","25,378","25,863","25,324",772.95K,0.21%
18/11/2015,"25,432","25,324","25,593","25,324",521.22K,0.00%
19/11/2015,"25,324","25,540","25,540","25,270",618.84K,-0.42%
20/11/2015,"25,324","25,324","25,486","25,324",461.76K,0.00%
23/11/2015,"25,162","25,378","25,432","25,162",798.68K,-0.64%
24/11/2015,"24,893","25,162","25,162","24,785",693.69K,-1.07%
25/11/2015,"24,785","25,001","25,001","24,516",673.88K,-0.43%
26/11/2015,"24,462","24,678","24,785","24,462",484.12K,-1.30%
27/11/2015,"23,869","24,300","24,462","23,762",1.16M,-2.42%
30/11/2015,"23,115","23,815","23,869","23,115",1.68M,-3.16%
01/12/2015,"22,684","23,115","23,384","22,630",1.52M,-1.86%
02/12/2015,"22,738","22,684","23,007","22,630",2.99M,0.24%
03/12/2015,"22,953","22,630","23,223","22,630",1.70M,0.95%
04/12/2015,"22,792","23,115","23,115","22,684",833.53K,-0.70%
07/12/2015,"21,983","22,684","22,684","21,930",2.44M,-3.55%
08/12/2015,"23,223","21,983","23,277","21,552",1.57M,5.64%
09/12/2015,"22,307","23,223","23,223","22,199",1.54M,-3.94%
10/12/2015,"22,199","22,307","22,522","22,091",699.41K,-0.48%
11/12/2015,"22,253","22,199","22,576","21,983",997.45K,0.24%
14/12/2015,"22,415","22,361","22,576","22,199",1.09M,0.73%
15/12/2015,"23,277","22,415","23,492","22,415",2.15M,3.85%
16/12/2015,"23,438","23,438","23,815","23,330",1.14M,0.69%
17/12/2015,"23,708","23,546","23,815","23,492",1.16M,1.15%
18/12/2015,"22,199","23,438","23,762","22,199",5.44M,-6.36%
21/12/2015,"22,899","22,630","22,899","22,630",1.78M,3.15%
22/12/2015,"22,899","23,007","23,115","22,792",866.16K,0.00%
23/12/2015,"22,846","22,684","22,953","22,630",1.46M,-0.23%
24/12/2015,"22,738","22,953","23,061","22,738",393.25K,-0.47%
25/12/2015,"22,899","22,792","23,115","22,738",1.01M,0.71%
28/12/2015,"22,899","23,061","23,169","22,899",743.44K,0.00%
29/12/2015,"23,708","22,899","23,762","22,846",2.48M,3.53%
30/12/2015,"23,869","23,762","24,193","23,654",1.94M,0.68%
31/12/2015,"23,654","23,977","23,977","23,600",1.29M,-0.90%
04/01/2016,"23,277","23,600","23,708","22,953",1.31M,-1.59%
05/01/2016,"22,899","23,115","23,384","22,846",1.95M,-1.62%
06/01/2016,"23,169","22,899","23,277","22,899",1.20M,1.18%
07/01/2016,"22,899","23,061","23,115","22,630",1.61M,-1.17%
08/01/2016,"22,738","22,792","22,953","22,468",1.17M,-0.70%
11/01/2016,"22,576","22,738","22,846","22,522",1.28M,-0.71%
12/01/2016,"23,007","22,630","23,007","22,630",828.64K,1.91%
13/01/2016,"22,792","23,061","23,115","22,792",773.10K,-0.93%
14/01/2016,"22,522","22,522","22,738","22,361",1.10M,-1.18%
15/01/2016,"21,876","22,522","22,630","21,876",1.52M,-2.87%
18/01/2016,"20,798","21,283","21,552","20,475",2.78M,-4.93%
19/01/2016,"21,714","20,798","21,768","20,798",1.33M,4.40%
20/01/2016,"21,552","21,552","22,091","21,283",1.26M,-0.75%
